Name,Date,Time,Status,Latitude,Longitude,WindSpeed,Ocean
CLAUDIA,19620920,0, TS,17.0N,107.3W,45,Pacific
CRISTINA,19840617,600, TD,14.0N,103.3W,30,Pacific
NORMAN,19780830,1800, TD,12.8N,98.0W,30,Pacific
ROSLYN,19861015,1800, TD,10.2N,92.7W,25,Pacific
YOLANDA,19921015,1800, TD,10.8N,107.2W,25,Pacific
CORA,19780807,1200, TD,13.0N,35.0W,25,Atlantic
OTIS,19811024,0, TD,10.7N,98.8W,30,Pacific
CAMILLE,19690814,0, TD,18.3N,79.7W,30,Atlantic
HEATHER,19690919,0, TS,14.5N,122.4W,45,Pacific
KING,19501013,600, TD,16.0N,84.2W,25,Atlantic
HANA,19820915,1800, TD,14.7N,158.0W,30,Pacific
GEORGETTE,19670725,0, TD,14.9N,119.2W,25,Pacific
DORIAN,20130722,1800, LO,11.3N,20.0W,25,Atlantic
ORLENE,19700907,0, TD,13.5N,97.3W,25,Pacific
LESLIE,20001004,1200, SD,29.0N,81.4W,30,Atlantic
MATTHEW,20041008,1200, TD,24.0N,95.4W,30,Atlantic
VINCE,20051008,600, SS,32.9N,20.6W,40,Atlantic
HERMINE,19800920,1200, TD,14.6N,77.2W,25,Atlantic
KANOA,19570715,0, HU,11.9N,108.2W,75,Pacific
NOEL,19950926,1800, TD,10.4N,37.7W,25,Atlantic
JENNIFER,19691009,0, TS,14.2N,104.1W,45,Pacific
TOMAS,20101029,600, TD,9.0N,53.7W,30,Atlantic
ROXANNE,19951007,1800, TD,14.0N,82.1W,25,Atlantic
KARL,19801125,0, SS,36.0N,46.0W,50,Atlantic
HUGO,19890910,1200, TD,13.2N,20.0W,25,Atlantic
ISBELL,19641008,1200, TD,13.0N,80.0W,25,Atlantic
BAKER,19500818,1200, TD,12.0N,54.0W,30,Atlantic
CONNIE,19550803,600, TD,15.3N,40.0W,30,Atlantic
JULIETTE,19830824,1800, TD,11.2N,107.4W,25,Pacific
HELENA,19631025,1200, TD,15.2N,58.9W,25,Atlantic
FIFTEEN,20071011,1200, TD,29.5N,52.6W,30,Atlantic
KEONI,19930809,0, TD,12.5N,144.0W,30,Pacific
DOLLY,19530908,600, TD,18.3N,65.1W,30,Atlantic
GAMMA,20051114,0, TD,13.2N,62.1W,30,Atlantic
JOVA,19810914,1200, TD,14.5N,123.4W,30,Pacific
DAVID,19790825,1200, TD,11.7N,36.1W,25,Atlantic
NORBERT,19840914,1800, TD,18.5N,115.5W,30,Pacific
SELMA,19701101,1200, TD,14.5N,107.7W,25,Pacific
FRED,20090907,1800, TD,11.8N,24.0W,30,Atlantic
CHARLEY,19800820,1200, SD,36.0N,73.0W,25,Atlantic
MONICA,19670913,600, TS,16.0N,106.0W,50,Pacific
MAKA,20090808,1800, DB,10.0N,159.0W,25,Pacific
LOVE,19501018,0, TS,25.5N,89.5W,40,Atlantic
FRANCESCA,19660906,0, TD,15.7N,107.7W,25,Pacific
NINA,19571129,0, TS,11.7N,162.5W,45,Pacific
GINNY,19631016,1200, TD,21.0N,72.0W,20,Atlantic
JEANNE,19801107,1800, DB,13.6N,82.6W,20,Atlantic
NELE,19851023,1800, TD,9.7N,159.5W,30,Pacific
TONY,20121021,1800, LO,20.1N,50.8W,25,Atlantic
OPAL,19950927,1800, TD,19.1N,87.3W,25,Atlantic
KELI,19840816,1800, TD,9.2N,150.1W,30,Pacific
KARA,19691007,1200, TD,20.5N,68.0W,25,Atlantic
IOKE,20060817,0, DB,10.3N,147.9W,25,Pacific
JOAQUIN,20150926,1800, LO,26.8N,68.7W,20,Atlantic
SHARON,19711125,1200, TD,9.5N,100.0W,25,Pacific
NICHOLAS,20031013,0, TD,9.5N,37.0W,25,Atlantic
IGOR,20100908,600, TD,14.0N,22.7W,30,Atlantic
MARTY,19850806,1800, TD,14.1N,106.2W,25,Pacific
HOW,19501001,600, TD,25.6N,88.4W,30,Atlantic
DIANE,19550807,600, TD,15.7N,41.2W,25,Atlantic
HILARY,19710726,0, TS,9.9N,109.5W,45,Pacific
LIZA,19610715,0, TS,14.3N,98.0W,45,Pacific
CLEO,19580811,600, TD,12.0N,20.5W,25,Atlantic
ELOISE,19750913,600, TD,17.5N,54.1W,25,Atlantic
FIVE,20100810,600, LO,25.7N,83.0W,25,Atlantic
ADOLPH,19830521,0, TD,7.1N,91.5W,25,Pacific
JOANNE,19610710,1200, TS,16.7N,112.5W,45,Pacific
ITEM,19501008,600, TS,23.3N,90.4W,35,Atlantic
HARVEY,19810911,1800, TD,14.0N,49.0W,25,Atlantic
SUSAN,19781018,0, TS,10.0N,144.7W,35,Pacific
GABRIELLE,19890830,1200, TD,11.6N,21.0W,25,Atlantic
TAMMY,20051005,600, TS,27.3N,79.7W,35,Atlantic
ENRIQUE,19790817,1800, TD,11.2N,113.8W,30,Pacific
GERDA,19580914,600, TS,17.4N,67.5W,40,Atlantic
OLIWA,19970828,600, TD,11.8N,166.7W,15,Pacific
KENDRA,19781028,1800, TD,23.5N,72.7W,30,Atlantic
JAVIER,19800822,1800, TD,13.3N,104.7W,25,Pacific
INEZ,19660921,1200, TD,9.9N,35.1W,25,Atlantic
HELENE,19580921,600, TD,17.0N,52.0W,25,Atlantic
MANUEL,19830912,600, TD,11.9N,99.2W,30,Pacific
IVO,20010910,1200, TD,14.8N,98.9W,25,Pacific
ODESSA,19640715,0, HU,15.1N,112.0W,75,Pacific
DOLORES,19660816,1200, TS,14.0N,103.1W,45,Pacific
DOG,19500830,1800, HU,15.2N,55.6W,80,Atlantic
GRACE,19911025,1800, SD,27.1N,64.9W,25,Atlantic
HUMBERTO,19950822,0, TD,13.2N,33.0W,30,Atlantic
OTTO,20041126,0, EX,28.0N,40.0W,30,Atlantic
LINDA,19850729,1800, TD,12.3N,123.3W,25,Pacific
KYLE,19961011,1200, TD,17.3N,86.5W,30,Atlantic
REBECCA,19611003,1200, TS,12.3N,125.2W,45,Pacific
CARLA,19560907,0, TD,24.8N,75.0W,30,Atlantic
SONIA,19831009,1800, TD,13.4N,130.2W,30,Pacific
PEWA,20130815,0, DB,7.6N,167.3W,25,Pacific
TARA,19611110,0, HU,14.6N,103.0W,75,Pacific
HAZEL,19531007,600, TD,20.5N,86.4W,25,Atlantic
CLARA,19770905,1200, TD,32.8N,80.0W,20,Atlantic
DELIA,19730901,1800, TD,20.5N,86.5W,30,Atlantic
EARL,19800904,1200, TD,17.7N,24.0W,25,Atlantic
ERIN,19890818,0, TD,14.3N,22.4W,25,Atlantic
SIX,20100714,0, LO,14.3N,102.6W,25,Pacific
FAY,20020905,1800, TD,28.0N,93.8W,30,Atlantic
ZEKE,19921025,1200, TD,12.6N,111.4W,25,Pacific
EMILIA,19780706,1800, TD,15.0N,112.5W,25,Pacific
JOSE,19811029,1200, TD,25.0N,47.5W,25,Atlantic
